time,open,high,low,close,QQQ · NASDAQ: open,QQQ · NASDAQ: high,QQQ · NASDAQ: low,QQQ · NASDAQ: close,RTH Range %,ETH Range %
1999-06-30,2293.5,2348.5,2268.5,2325.5,56.804685,59.9375,56.13281,57.625,216,NaN
1999-07-01,2326,2357,2295,2347.5,57.8125,58.34375,56.8125,58.015625,88,NaN
1999-07-06,2383.5,2410,2376.5,2396,59.0625,59.65625,58.0625,58.375,97,NaN
1999-07-07,2365,2367.5,2341,2352,58.34375,58.71875,57.9375,58.46875,50,NaN
1999-07-08,2368,2405,2350.5,2388,58.46875,59.492185,58.1875,59.25,85,NaN
1999-07-09,2395,2405.5,2384,2398,59.46875,59.90625,59.03125,59.84375,60,NaN
1999-07-12,2423,2437,2389,2422,60.0625,60.375,59.1875,59.53125,83,NaN
1999-07-13,2394,2399,2372.5,2382,59.25,59.46875,58.78125,59.25,50,NaN
1999-07-14,2397.5,2426.5,2382,2424,59.84375,60.375,59,60.25781,100,NaN
1999-07-15,2434,2453.5,2428.5,2448,60.46875,60.8125,60.13281,60.8125,52,49
1999-07-16,2448,2489,2446.5,2484,60.84375,61.71875,60.82031,61.375,71,85
1999-07-19,2475.5,2489,2442,2449.5,61.625,61.625,60.50781,60.75,90,95
1999-07-20,2402,2406,2358.5,2369.5,60.00781,60.09375,58.25,58.40625,134,88
1999-07-21,2356.5,2387.5,2342,2353,58.53125,59.19531,58.0625,58.6875,84,86
1999-07-22,2316,2324.5,2299,2312,58.6875,58.6875,57.03125,57.19531,120,48
1999-07-23,2325,2333,2283.5,2303,57.625,57.867185,56.6875,57.28125,87,94
1999-07-26,2281,2302,2265.5,2268,56.5,57.125,55.78125,55.875,98,71
1999-07-27,2276,2328.5,2274,2325.5,57,57.875,56.515625,57,95,105
1999-07-28,2319.5,2353,2292,2334.5,57.6875,58.4375,56.94531,58.117185,104,115
1999-07-29,2326,2329,2269,2284.5,57.03125,57.5,56.3125,56.875,80,111
1999-07-30,2304,2327,2282,2294,57.125,57.75,56.50781,56.59375,85,84
1999-08-02,2266.5,2325,2260.5,2310.5,56.6875,57.8125,56.21875,56.4375,109,119
1999-08-03,2282,2302.5,2224,2261.5,57.210935,57.21875,55.25,56.07031,130,136
1999-08-04,2262,2273.5,2233,2247,56.07031,56.492185,55.00781,55.054685,98,72
1999-08-05,2207,2241.5,2164.5,2226,55.0625,55.929685,53.75,55.929685,138,131
1999-08-06,2251,2273.5,2215,2224.5,55.53125,56.5625,54.9375,55.328125,102,100
1999-08-09,2236,2244,2206,2227,55.53125,55.6875,54.50781,54.617185,76,67
1999-08-10,2142,2167,2132,2159,54.46875,54.867185,52.9375,54.125,122,58
1999-08-11,2197,2230,2184.5,2226.5,55.09375,56,54.265625,55.90625,108,74
1999-08-12,2248.5,2272.5,2234,2238,56.125,56.5,55.125,55.25,87,64
1999-08-13,2217.5,2302.5,2214,2297.5,56.40625,57.71875,56.3125,57.65625,84,141
1999-08-16,2318,2348,2307,2313,57.625,58.3125,57.25,58.117185,66,67
1999-08-17,2330,2359,2289,2334.5,58.625,58.6875,57.34375,58.40625,85,112
1999-08-18,2350,2363.5,2320,2323.5,58.125,58.84375,57.53125,57.75,84,72
1999-08-19,2322,2326.5,2278,2302,57.21875,57.625,56.69531,57.0625,62,82
1999-08-20,2295.5,2313.5,2282.5,2308,57.125,57.96875,56.8125,57.96875,78,55
1999-08-23,2337,2372,2335.5,2363,58.5,59.8125,58.367185,59.8125,96,64
1999-08-24,2388,2444.5,2379.5,2405,59.375,60.875,59.25781,60.21875,106,109
1999-08-25,2415,2476.5,2406.5,2470.5,60.59375,61.75,59.9375,61.5,117,115
1999-08-26,2470,2477.5,2425,2428,61.5,61.71875,60.38281,60.47656,87,88
1999-08-27,2425,2449,2399.5,2405,60.929685,60.9375,59.71875,59.875,81,84
1999-08-30,2405,2421,2363,2374,60.125,60.3125,58.875,59.03125,96,99
1999-08-31,2379,2409,2332.5,2395.5,59.4375,60.0625,58.125,59.6875,126,126
1999-09-01,2395,2432,2389,2414.5,60.0625,60.625,59.6875,60.117185,63,73
1999-09-02,2413.5,2416.5,2362,2401.5,59,60.21875,58.875,59.90625,92,93
1999-09-03,2403.5,2513,2396,2513,61.625,62.679685,61.40625,62.65625,80,182
1999-09-07,2531,2531,2497,2502.5,62.53125,63.15625,62.28125,62.375,57,56
1999-09-08,2500,2508.5,2456,2469,62,62.625,61.03125,61.53125,104,87
1999-09-09,2465,2507,2454,2506,61.5625,62.5625,61.25,62.40625,87,89
1999-09-10,2505,2564,2502,2537,63.25,63.742185,62.53125,63.125,81,104
1999-09-13,2540,2550,2487.5,2495.5,63.0625,63.1875,62.03125,62.367185,79,104
1999-09-14,2529,2561,2509.5,2545,62.125,63.148435,62,62.710935,81,85
1999-09-15,2544,2579.5,2491,2494,63.492185,63.492185,61.4375,61.5,138,139
1999-09-16,2493,2513,2442.5,2494,61.46875,62.03125,60.19531,61.46875,120,110
1999-09-17,2497,2574,2492.5,2568.5,62.03125,63.4375,61.9375,63.3125,96,124
1999-09-20,2585,2588,2551,2570,63.5,63.75,63.03125,63.460935,48,59
1999-09-21,2578,2578,2503,2510,62.90625,63.03125,61.75781,61.9375,85,117
1999-09-22,2510,2548.5,2483,2538,62.03125,62.921875,61.28125,62.59375,108,102
1999-09-23,2537,2567,2415.5,2434,63.25,63.375,59.63281,60,215,207
1999-09-24,2433,2439.5,2375,2426,59.625,60.3125,58.625,60.078125,97,89
1999-09-27,2427,2486.5,2427,2451.5,60.9375,61.375,60.3125,60.5,63,84
1999-09-28,2451,2470,2386,2463,60.19531,61,58.90625,60.78125,121,116
1999-09-29,2464,2476.5,2415,2417,60.78125,61.21875,59.5625,59.5625,96,86
1999-09-30,2417,2462.5,2405,2439.5,60.125,60.8125,59.375,60.1875,85,82
1999-10-01,2436.5,2440,2379.5,2431.5,59.375,60.210935,58.75,60.210935,87,88
1999-10-04,2431.5,2499.5,2424.5,2498.5,60.53125,61.78125,60.1875,61.5625,96,108
1999-10-05,2496,2535.5,2458,2508,61.78125,62.75,60.6875,62,121,110
1999-10-06,2504.5,2559,2501,2555.5,62.375,63.335935,61.429685,63.242185,111,84
1999-10-07,2555.5,2599,2533,2552,63.59375,63.898435,62.625,63.09375,76,96
1999-10-08,2550,2580,2505,2578,62.84375,63.9375,62,63.75781,114,108
1999-10-11,2578,2611.5,2568,2608,63.9375,64.6875,63.78125,64.65625,56,65
1999-10-12,2609,2617,2545.5,2556,64.4375,64.5,63,63.1875,92,106
1999-10-13,2532,2554.5,2465.5,2474,62.46875,63.21875,61.0625,61.3125,128,128
1999-10-14,2486,2508,2445,2492,61.53125,62.125,60.53125,61.69531,95,91
1999-10-15,2495,2498.5,2405,2416,60.125,61,59.50781,59.875,86,131
1999-10-18,2406.5,2437,2318.5,2381,59.9375,60.15625,57.41406,59.117185,150,156
1999-10-19,2380.5,2424,2359.5,2385,59.75781,60.0625,58.4375,59.4375,90,86
1999-10-20,2396,2492,2396,2472.5,60.34375,61.742185,59.75,61.25,107,123
1999-10-21,2470.5,2514,2413,2513,60.25,62.25,59.8125,62.25,127,126
1999-10-22,2511,2547,2493,2496.5,62.617185,63.25,61.75,61.96875,80,69
1999-10-25,2497.5,2528,2470,2501,61.6875,62.679685,61.4375,62,69,76
1999-10-26,2499.5,2545,2476,2476,62.75,63.09375,61.375,61.5,95,92
1999-10-27,2475,2489,2438,2478,61.34375,61.625,60.44531,61.40625,68,70
1999-10-28,2478,2564.5,2457,2562,62.375,63.75,61.8125,63.53125,108,141
1999-10-29,2560,2672,2551,2655.5,65,66.25,64.78125,65.75,78,150
1999-11-01,2650,2682.5,2633,2639,65.75,66.53125,65.32031,65.40625,66,64
1999-11-02,2633,2684.5,2626.5,2643,65.75,66.5625,65.19531,65.44531,77,77
1999-11-03,2641,2705.5,2640,2695,66.375,67.125,66.1875,66.75,53,88
1999-11-04,2693.5,2732,2692,2723,67.679685,67.8125,66.78125,67.5,61,56
1999-11-05,2723,2784,2710,2784,68.875,69.21875,68.1875,68.1875,61,104
1999-11-08,2750.5,2810,2740.5,2808,68.4375,69.804685,68.21875,69.5625,94,98
1999-11-09,2805,2847.5,2753,2785,70.125,70.25,68.5,69.09375,103,128
1999-11-10,2786,2839,2770,2818.5,69.125,70.59375,68.8125,70,104,94
1999-11-11,2810.5,2869,2810.5,2866.5,70.75,71.34375,70.125,71.25,73,82
1999-11-12,2864,2910,2802,2905,71.625,72.25,69.375,72.1875,161,143
1999-11-15,2908.5,2918,2883.5,2898.5,72.25,72.5,71.6875,72.046875,48,48
1999-11-16,2892,2984,2889,2976,72.3125,74.21875,72,73.875,127,129
1999-11-17,2920,2985,2920,2931,73.875,74.19531,72.5,72.875,97,89
1999-11-18,2929.5,3021,2923.5,3018,73.375,75.109375,72.9375,75.109375,121,130
1999-11-19,3015,3049,2992.5,3043.5,74.78125,75.90625,70.15625,75.78125,263,77
1999-11-22,3052,3069.5,3019,3065.5,75.9375,77.5,75.125,77.5,108,71
1999-11-23,3066,3078,2982.5,3013,76.4375,76.5,74.25,74.96875,97,130
1999-11-24,3011,3123,2990,3119,75.1875,77.742185,74.40625,77.4375,138,167
1999-11-26,3119.5,3165,3112.5,3121,78.40625,78.78125,77.375,77.6875,61,68
1999-11-29,3124,3142.5,3067,3068,77.53125,78.1875,76.3125,76.40625,83,99
1999-11-30,3071,3079,2968,2972,76.5625,76.6875,73.9375,74,119,139
1999-12-01,2971,3030,2961.5,3013.5,74.3125,75.46875,73.75,75.09375,76,87
1999-12-02,3015.5,3115,3010.5,3111,75.375,77.625,75.328125,77.47656,101,128
1999-12-03,3110,3218.5,3094,3174,79.3125,80.1875,78.90625,79.125,55,145
1999-12-06,3174.5,3229,3157,3203,79.429685,80.5,78.6875,79.84375,80,85
1999-12-07,3200,3227,3160.5,3209.5,80.09375,80.40625,78.835935,79.84375,71,81
1999-12-08,3205,3228,3160,3165.5,79.867185,80.492185,78.6875,78.875,83,84
1999-12-09,3162,3223.5,3105,3169,80,80.4375,77.25,79,141,140
1999-12-10,3160,3220,3131,3207,79.90625,80.1875,78.125,79.5,92,104
1999-12-13,3213,3277,3176,3247,79.63281,81.335935,79.28125,80.992185,92,116
1999-12-14,3285,3324,3210.5,3224.5,80.75,81.21875,79,79.53125,100,127
1999-12-15,3226,3287,3169,3280.5,78.625,81,77.9375,81,133,128
1999-12-16,3282,3383,3276,3382,82.125,83.25,81.75,83.125,65,114
1999-12-17,3383,3458.5,3379,3413.5,84.5,84.875,83.429685,83.78125,64,86
1999-12-20,3439,3439,3439,3439,84.40625,85.25,83.6875,84.875,72,0
1999-12-21,3439,3597.5,3431.5,3592,85.125,88.75,84.640625,88.6875,173,177
1999-12-22,3594,3626,3549.5,3618.5,89.1875,89.3125,87.4375,89.15625,81,83
1999-12-23,3613.5,3682,3599.5,3636,89.867185,90.75,89,89.65625,77,91
1999-12-27,3635.5,3678.5,3566,3641,90.3125,93.57031,87.90625,89.6875,217,121
1999-12-28,3635,3674,3596,3622,89.75,90.5,88.5625,89.1875,76,85
1999-12-29,3621.5,3748,3611.5,3744.5,90,92.5,89.875,92.5,100,142
1999-12-30,3744.5,3804.5,3720,3735,93.625,93.75,91.5,91.5,87,89
1999-12-31,3728.5,3772,3722.5,3754,92.625,93.1875,91.375,91.375,72,55
2000-01-03,3750,3895,3681,3837.5,96.1875,96.1875,90,94.75,215,208
2000-01-04,3838.5,3842.5,3525,3559.5,92,93.5,87.9375,88.00781,170,255
2000-01-05,3557.5,3618,3395,3508,87.5,90.03125,84.25,86.1875,164,166
2000-01-06,3493,3553,3282.5,3315.5,86.875,88,80,80.75,202,183
2000-01-07,3284.5,3574.5,3257,3562,82.9375,88.5,82.5,88.5,138,193
2000-01-10,3561,3804.5,3554.5,3766,91,93.9375,89.9375,92.25,90,144
2000-01-11,3765,3766,3542,3582,91.75,92.875,87,88.25,128,126
2000-01-12,3576,3615,3476,3508,89,89.242185,86,86.5625,73,80
2000-01-13,3508,3651,3502,3644,88.5,91.5,87.078125,91.25,98,87
2000-01-14,3660,3785,3645,3752.5,93,93.625,92,92.6875,38,83
2000-01-18,3743,3819.5,3669.5,3800,92.0625,94.4375,91.4375,94,72,90
2000-01-19,3800.5,3850.5,3741,3844.5,93.492185,96,92.429685,95.28125,87,68
2000-01-20,3847,3913,3811,3880,95.5,96.875,94.00781,95.5,72,66
2000-01-21,3870,3914,3824,3893,96.5,96.5625,95.0625,96.25,40,61
2000-01-24,3891.5,3938,3675.5,3681,97.4375,97.625,90.96875,91.25,165,164
2000-01-25,3675,3797,3606.5,3788.5,91.875,94.117185,89.40625,93.15625,115,117
2000-01-26,3775,3787.5,3637.5,3654.5,93.25,93.3125,89,89.5,105,93
2000-01-27,3628.5,3734,3526,3636,91.75,92.5,87.625,90.5,116,125
2000-01-28,3640.5,3685,3409,3475,90,90.46875,84.75,85.75,132,156
2000-01-31,3462,3620,3371,3612.5,85.875,90,83.5,90,142,135
2000-02-01,3606.5,3735,3564,3723.5,89.53125,92.5,88.4375,92.5,90,93
2000-02-02,3719.5,3816,3692,3734,92.25,94.71875,92.09375,92.875,61,70
2000-02-03,3734,3892.5,3713,3892.5,94.3125,96.625,92.28125,96.125,100,101
2000-02-04,3888,3960,3861,3906.5,97,98.242185,96.21875,96.90625,49,58
2000-02-07,3906.5,3958.5,3875.5,3957,97.25,98.5,96.25,98.40625,57,52
2000-02-08,3944.5,4098.5,3942,4095,99.375,102.25,99.375,102.25,73,97
2000-02-09,4100,4144,3976.5,3976.5,102.0625,102.19531,98.75,99,89,104
2000-02-10,3971,4116,3968,4112,99.8125,102.25,98.554685,102.1875,96,93
2000-02-11,4109,4140,3950,3992.5,102.0625,102.0625,98,99,105,117
2000-02-14,3983.5,4028,3934,4003.5,99.992185,100,97.75,99.359375,60,60
2000-02-15,3999.5,4050,3861,4036.5,98.9375,100.625,95.875,100.25,124,119
2000-02-16,4034.5,4087,3995,4020.5,99.90625,101.6875,99.3125,100,65,60
2000-02-17,4026,4146,4011,4106.5,101.1875,103.25,99.625,101.875,99,89
2000-02-18,4110,4141,3962.5,3968,102.625,103,98.4375,98.8125,121,116
2000-02-22,3954.5,4018,3865.5,3967.5,99,99.9375,96.25,98.65625,98,99
2000-02-23,3977,4218,3962,4187.5,99.679685,105,99.15625,104.125,146,156
2000-02-24,4189.5,4292.5,4106.5,4292.5,104.875,106.804685,102,106.5,117,112
2000-02-25,4283.5,4316,4130,4194,106.1875,107.5,103.875,104.1875,90,111
2000-02-28,4182.5,4243,4029,4158,103.25,105.6875,100.5,103.75,125,124
2000-02-29,4164.5,4301,4158.5,4301,105.75,107.09375,104.9375,107,53,84
2000-03-01,4298,4353,4273,4325.5,107.25,108.5625,106.5,107.625,53,50
2000-03-02,4325,4338,4204,4225,108.0625,108.1875,104.75,105.13281,90,85
2000-03-03,4230,4458,4210,4454.5,108,111.125,107,109.523435,102,149
2000-03-06,4447,4541,4431,4497.5,111.75,113.21875,110.25,111.5,74,68
2000-03-07,4483.5,4570.5,4361,4392.5,113.8125,113.875,108.75,109.75,124,126
2000-03-08,4387.5,4465,4272,4457.5,111,112,106.28125,111.5625,133,114
2000-03-09,4457,4615,4376.5,4608,111.21875,115,109.09375,115,133,136
2000-03-10,4600,4668,4555,4605,114.875,116.4375,113.50781,114.6875,68,67
2000-03-13,4590,4597,4420.5,4464,110,114.125,109.53125,111.1875,105,103
2000-03-14,4510.5,4604,4282,4300,112.75,113.375,105,107,175,173
2000-03-15,4298.5,4357,4145.5,4164,106.5,107,101.875,102.96875,106,112
2000-03-16,4172,4432.5,4108,4414.5,105.375,109.25,101,108.5,160,160
2000-03-17,4415.5,4527,4373,4516.5,108,111.0625,107.9375,110.8125,63,78
2000-03-20,4507.5,4529,4315.5,4352.5,111,111.5,106.25,107.25,105,107
2000-03-21,4348,4529.5,4215,4518,106.125,111.875,103.5625,111.5,156,149
2000-03-22,4510,4709,4492,4620,113.5,115.96875,111.125,114,92,103
2000-03-23,4625,4775,4576,4732.5,114.48437,117.75,113.5625,116.375,81,95
2000-03-24,4730,4884,4666,4804,117.48437,120.5,115.01562,117.875,106,103
2000-03-27,4787,4850,4751,4762,118,119.5,117.125,117.35937,48,50
2000-03-28,4761,4837.5,4650,4662.5,116.98437,117.8125,114.375,115,72,95
2000-03-29,4660,4678,4456,4469,115.375,115.4375,110,110.5,113,111
2000-03-30,4471,4558,4211.5,4327.5,107.25,112.75,103.5,107.25,175,161
2000-03-31,4328,4486,4245.5,4457.5,108.14062,110.625,104,109.5,122,110
2000-04-03,4417,4417,4088.5,4135,107.76562,109.125,100.75,103.5,146,141
