Date,QQQ Open,QQQ High,QQQ Low,QQQ Close,Call Symbol,Call Open,Call High,Call Low,Call Close,Put Symbol,Put Open,Put High,Put Low,Put Close,Straddle Open,Straddle Close
2023-03-01,293.26,293.93,290.2,291.2,O:QQQ230301C00293000,,,,,O:QQQ230301P00293000,,,,,,
2023-03-02,288.66,294.43,288.37,293.61,O:QQQ230302C00289000,1.18,5.32,1.08,4.18,O:QQQ230302P00289000,1.56,1.64,0.01,0.01,2.74,4.19
2023-03-03,295.39,299.92,294.87,299.68,O:QQQ230303C00295000,1.5,4.93,1.22,4.9,O:QQQ230303P00295000,1.08,1.5,0.01,0.01,2.58,4.91
2023-03-06,300.94,304.0,299.82,300.02,O:QQQ230306C00301000,1.26,3.14,0.01,0.01,O:QQQ230306P00301000,1.24,1.29,0.1,1.05,2.5,1.06
2023-03-07,300.07,301.01,295.72,296.34,O:QQQ230307C00300000,1.8,2.32,0.01,0.01,O:QQQ230307P00300000,1.76,4.21,1.02,3.62,3.56,3.63
2023-03-08,296.77,298.43,294.88,297.82,O:QQQ230308C00297000,1.26,1.77,0.09,0.8,O:QQQ230308P00297000,1.49,2.59,0.01,0.01,2.75,0.81
2023-03-09,298.33,300.98,291.8299,292.66,O:QQQ230309C00298000,1.4,3.23,0.01,0.01,O:QQQ230309P00298000,1.04,5.92,0.19,5.76,2.44,5.77
2023-03-10,292.83,294.35,287.38,288.55,O:QQQ230310C00293000,1.63,1.94,0.01,0.01,O:QQQ230310P00293000,1.84,5.55,0.6,4.55,3.47,4.56
2023-03-13,286.73,294.47,285.19,290.69,O:QQQ230313C00287000,2.06,7.1,1.48,4.03,O:QQQ230313P00287000,2.72,3.21,0.01,0.01,4.78,4.04
2023-03-14,294.31,297.93,293.45,297.37,O:QQQ230314C00294000,1.8,4.09,0.4,2.95,O:QQQ230314P00294000,1.49,1.61,0.01,0.02,3.29,2.97
2023-03-15,294.71,299.27,293.24,298.93,O:QQQ230315C00295000,1.88,4.27,0.75,3.9,O:QQQ230315P00295000,2.07,2.53,0.01,0.01,3.95,3.91
2023-03-16,298.0,307.18,297.19,306.81,O:QQQ230316C00298000,1.67,9.04,1.25,8.61,O:QQQ230316P00298000,1.79,2.06,0.01,0.01,3.46,8.62
2023-03-17,306.72,309.15,303.37,305.36,O:QQQ230317C00307000,1.47,2.75,0.01,0.01,O:QQQ230317P00307000,1.46,3.8,0.67,1.23,2.93,1.24
2023-03-20,304.26,306.3,302.01,305.97,O:QQQ230320C00304000,1.87,2.41,0.54,2.07,O:QQQ230320P00304000,1.58,2.75,0.01,0.01,3.45,2.08
2023-03-21,307.94,310.8,306.395,310.34,O:QQQ230321C00308000,1.25,2.8,0.31,2.04,O:QQQ230321P00308000,1.3,1.94,0.01,0.01,2.55,2.05
2023-03-22,310.27,315.25,305.95,306.12,O:QQQ230322C00310000,2.84,5.3,0.01,0.01,O:QQQ230322P00310000,2.33,4.48,0.12,3.9,5.17,3.91
2023-03-23,309.92,314.15,307.01,309.75,O:QQQ230323C00310000,1.5,4.38,0.06,0.13,O:QQQ230323P00310000,1.6,3.07,0.12,0.65,3.1,0.78
2023-03-24,309.32,310.99,306.95,310.89,O:QQQ230324C00309000,2.02,2.43,0.6,2.15,O:QQQ230324P00309000,1.68,2.77,0.01,0.01,3.7,2.16
2023-03-27,311.6,312.7,307.89,308.76,O:QQQ230327C00312000,1.16,1.59,0.01,0.01,O:QQQ230327P00312000,1.54,4.14,0.92,3.06,2.7,3.07
2023-03-28,308.17,308.2,304.774,307.12,O:QQQ230328C00308000,1.36,1.36,0.01,0.01,O:QQQ230328P00308000,1.2,3.25,0.4,0.65,2.56,0.66
2023-03-29,310.88,313.35,310.05,312.72,O:QQQ230329C00311000,1.05,2.27,0.53,1.54,O:QQQ230329P00311000,1.11,1.47,0.01,0.01,2.16,1.55
2023-03-30,315.24,316.32,312.8088,315.68,O:QQQ230330C00315000,1.19,1.7,0.21,0.75,O:QQQ230330P00315000,1.0,1.32,0.01,0.01,2.19,0.76
2023-03-31,315.91,321.17,315.6,320.93,O:QQQ230331C00316000,1.07,5.16,0.92,5.16,O:QQQ230331P00316000,1.09,1.28,0.01,0.01,2.16,5.17
2023-04-03,318.77,320.42,317.4201,320.15,O:QQQ230403C00319000,1.13,1.71,0.11,1.16,O:QQQ230403P00319000,1.37,1.9,0.01,0.01,2.5,1.17
2023-04-04,320.6,321.63,317.8251,319.07,O:QQQ230404C00321000,0.87,1.26,0.01,0.01,O:QQQ230404P00321000,1.23,3.13,0.65,1.81,2.1,1.82
2023-04-05,318.1,319.06,314.07,315.92,O:QQQ230405C00318000,1.19,1.29,0.01,0.01,O:QQQ230405P00318000,1.14,3.89,1.02,2.33,2.33,2.34
2023-04-06,314.24,318.55,312.82,318.05,O:QQQ230406C00314000,1.35,4.51,0.56,3.96,O:QQQ230406P00314000,1.07,1.7,0.01,0.01,2.42,3.97
2023-04-10,315.07,317.92,313.25,317.87,O:QQQ230410C00315000,1.2,3.09,0.39,3.09,O:QQQ230410P00315000,1.1,2.15,0.01,0.01,2.3,3.1
2023-04-11,317.83,317.89,315.31,315.83,O:QQQ230411C00318000,1.05,1.05,0.01,0.01,O:QQQ230411P00318000,1.21,2.75,0.89,2.0,2.26,2.01
2023-04-12,317.82,318.42,312.565,313.04,O:QQQ230412C00318000,1.31,1.6,0.01,0.01,O:QQQ230412P00318000,1.6,5.37,1.22,5.04,2.91,5.05
2023-04-13,314.83,319.65,313.63,319.17,O:QQQ230413C00315000,0.97,4.58,0.91,3.95,O:QQQ230413P00315000,1.18,1.27,0.01,0.01,2.15,3.96
2023-04-14,317.59,320.36,315.61,318.57,O:QQQ230414C00318000,0.96,2.66,0.05,0.79,O:QQQ230414P00318000,1.36,2.41,0.01,0.01,2.32,0.8
2023-04-17,318.15,319.1999,316.04,318.84,O:QQQ230417C00318000,1.16,1.8,0.09,0.77,O:QQQ230417P00318000,0.93,2.0,0.01,0.01,2.09,0.78
2023-04-18,320.99,321.42,317.64,318.86,O:QQQ230418C00321000,1.05,1.26,0.01,0.01,O:QQQ230418P00321000,1.08,3.35,0.87,2.74,2.13,2.75
2023-04-19,316.41,319.79,316.28,318.71,O:QQQ230419C00316000,1.31,3.68,1.25,2.32,O:QQQ230419P00316000,0.9,0.98,0.01,0.01,2.21,2.33
2023-04-20,315.69,319.27,314.97,316.28,O:QQQ230420C00316000,0.95,3.27,0.02,0.57,O:QQQ230420P00316000,1.2,1.26,0.01,0.01,2.15,0.58
2023-04-21,315.91,317.4,314.1,316.61,O:QQQ230421C00316000,1.03,1.5,0.24,0.55,O:QQQ230421P00316000,1.1,2.23,0.01,0.01,2.13,0.56
2023-04-24,316.38,317.7391,313.74,315.95,O:QQQ230424C00316000,1.17,2.1,0.01,0.05,O:QQQ230424P00316000,0.83,2.37,0.06,0.1,2.0,0.15
2023-04-25,314.29,314.97,309.89,309.99,O:QQQ230425C00314000,1.46,1.81,0.01,0.01,O:QQQ230425P00314000,1.14,4.38,0.87,1.28,2.6,1.29
2023-04-26,313.44,314.935,311.34,311.87,O:QQQ230426C00313000,1.52,2.18,0.07,0.4,O:QQQ230426P00313000,1.19,1.86,0.07,0.1,2.71,0.5
2023-04-27,315.7,320.86,315.05,320.35,O:QQQ230427C00316000,0.95,7.04,0.68,6.01,O:QQQ230427P00316000,1.38,1.68,0.01,0.01,2.33,6.02
2023-04-28,320.11,322.65,318.96,322.56,O:QQQ230428C00320000,1.15,2.9,0.59,2.72,O:QQQ230428P00320000,1.02,1.62,0.01,0.01,2.17,2.73
2023-05-01,322.09,323.63,321.09,322.19,O:QQQ230501C00322000,1.0,1.69,0.11,0.19,O:QQQ230501P00322000,0.9,1.26,0.01,0.02,1.9,0.21
2023-05-02,322.12,322.45,317.61,319.38,O:QQQ230502C00322000,0.96,1.13,0.01,0.01,O:QQQ230502P00322000,0.79,4.3,0.7,2.83,1.75,2.84
