time,open,high,low,close
1871-01-02,4.5,4.86,4.5,4.74
1872-01-01,4.86,5.18,4.86,4.95
1873-01-01,5.11,5.11,4.19,4.42
1874-01-01,4.66,4.66,4.46,4.54
1875-01-01,4.54,4.65,4.3,4.37
1876-01-03,4.52,4.52,3.58,3.58
1877-01-01,3.55,3.55,2.73,3.26
1878-01-01,3.25,3.48,3.18,3.47
1879-01-01,3.58,4.92,3.58,4.92
1880-01-01,5.11,5.84,4.79,5.84
1881-01-03,6.17,6.58,6.01,6.01
1882-01-02,5.79,6.24,5.68,5.84
1883-01-01,5.81,5.82,5.38,5.46
1884-01-01,5.18,5.32,4.34,4.34
1885-01-01,4.24,5.2,4.24,5.2
1886-01-01,5.2,5.79,5.12,5.64
1887-01-03,5.54,5.8,5.27,5.27
1888-01-02,5.28,5.35,5.01,5.24
1889-01-01,5.24,5.4,5.18,5.35
1890-01-01,5.38,5.62,4.6,4.6
1891-01-01,4.84,5.41,4.77,5.41
1892-01-01,5.51,5.62,5.48,5.51
1893-01-02,5.51,5.51,4.08,4.41
1894-01-01,4.32,4.51,4.32,4.34
1895-01-01,4.25,4.79,4.19,4.59
1896-01-01,4.27,4.42,4.01,4.22
1897-01-01,4.22,4.98,4.06,4.75
1898-01-03,4.87,5.65,4.57,5.65
1899-01-02,6.31,6.46,6.02,6.02
1900-01-01,6.1,6.48,5.86,6.48
1901-01-01,7.07,8.14,7.07,8.08
1902-01-01,8.12,8.85,8.05,8.05
1903-01-01,8.46,8.46,6.26,6.57
1904-01-01,6.68,8.25,6.48,8.25
1905-01-02,8.8,9.54,8.5,9.54
1906-01-01,9.87,9.93,9.18,9.93
1907-01-01,9.56,9.56,6.25,6.25
1908-01-01,6.85,9.03,6.85,9.03
1909-01-01,9.06,10.3,8.8,10.3
1910-01-03,9.72,9.96,8.64,9.05
1911-01-02,9.43,9.67,8.67,9.11
1912-01-01,9.12,9.84,9.04,9.73
1913-01-01,9.3,9.3,8.04,8.04
1914-01-01,8.37,8.37,7.35,7.35
1915-01-01,7.48,9.48,7.38,9.48
1916-01-03,9.2,10.21,9.17,9.8
1917-01-01,9.57,9.57,7.04,7.04
1918-01-01,7.21,8.06,7.21,8.06
1919-01-01,7.85,9.51,7.85,8.92
1920-01-01,8.83,8.83,6.81,6.81
1921-01-03,7.06,7.31,6.45,7.31
1922-01-02,7.46,9.06,7.46,8.78
1923-01-01,8.9,9.43,8.03,8.27
1924-01-01,8.83,10.16,8.47,10.16
1925-01-01,10.58,12.46,10.28,12.46
1926-01-01,12.65,13.49,11.48,13.49
1927-01-03,13.66,17.66,13.66,17.66
1928-01-02,17.76,24.35,16.950001,24.35
1929-01-01,24.809999,31.860001,17.66,21.450001
1930-01-01,21.18,25.92,14.44,15.34
1931-01-01,15.85,18.17,7.72,8.12
1932-01-01,7.56,9.31,4.4,6.92
1933-01-02,6.83,12.2,5.53,9.97
1934-01-01,10.11,11.82,8.36,9.5
1935-01-01,9.51,13.46,8.06,13.43
1936-01-01,13.4,17.690001,13.4,17.18
1937-01-01,16.93,18.67,10.17,10.55
1938-01-03,10.52,13.91,8.5,13.14
1939-01-02,13.08,13.23,10.42,12.46
1940-01-01,12.63,12.77,8.99,10.58
1941-01-01,10.48,10.86,8.37,8.69
1942-01-01,8.89,9.77,7.47,9.77
1943-01-01,9.92,12.64,9.89,11.67
1944-01-03,11.66,13.28,11.56,13.28
1945-01-01,13.33,17.68,13.21,17.360001
1946-01-01,17.25,19.25,14.12,15.3
